Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
ElSalvador,65,7,58,0,COM,Aviateca Flight 901,Boeing 737-200
EquatorialGuinea,60,6,54,0,COM,Equatorial Express Airlines (3C-VQR),Antonov An-24B
Eritrea,54,0,0,0,MIL,Ethiopian Air Force,Antonov An-12
Ethiopia,73,0,0,0,MIL,Ethiopian Air Force,Antonov An-26
Ethiopia,157,8,149,0,COM,Ethiopian Airlines Flight 302,Boeing 737 MAX 8
France,58,7,51,0,COM,Curtiss Reid Flying Services (CF-EDN),Douglas C-54B-1-DC
France,54,9,45,0,COM,TAI (F-BIAP),Douglas DC-7C
France,130,8,122,0,COM,Air France Flight 007,Boeing 707-328
France,117,11,106,0,COM,Air India Flight 101,Boeing 707-437
france,88,5,83,0,COM,Air Ferry DC-4 G-APYK,Douglas C-54 Skymaster
France,95,6,89,0,EXG,Air France Flight 1611,Sud Aviation SE-210 Caravelle III
france,60,5,55,0,COM,Air Inter Flight 696,Vickers Viscount 724
france,68,7,61,0,COM,Iberia Flight 504 and Spantax Flight 400,McDonnell Douglas DC-9-32 and Convair CV-990-30A-5
france,123,7,116,0,COM,Varig Flight 820,Boeing 707-320C
france,346,11,335,0,COM,Turkish Airlines Flight 981,McDonnell Douglas DC-10-10
france,180,7,173,0,COM,Inex-Adria Aviopromet Flight 1308,McDonnell Douglas MD-81
france,87,5,82,0,COM,Air Inter Flight 148,Airbus A320-111
france,113,9,100,4,COM,Air France Flight 4590,Aérospatiale-BAC Concorde
france,150,6,144,0,COM,Germanwings Flight 9525,Airbus A320-211
FrenchPolynesia,78,10,68,0,COM,Pan Am Flight 816,Boeing 707-321B
Georgia,61,3,58,0,MIL,Russian Air Force,Mil Mi-8T
Georgia,108,8,100,0,EXG,Transair Georgia (85163),Tupolev Tu-154B
Georgia,60,0,0,0,MIL,Georgian Air Force,Mil Mi-8
Georgia,83,11,72,0,MIL,Russian Air Force (RA-74295),Ilyushin Il-18D
Germany,71,11,60,0,COM,Bashkirian Airlines Flight 2937 and DHL Flight 611,Tupolev Tu-154M and Boeing 757-23APF
Greece,90,5,85,0,COM,Olympic Airways Flight 954,Douglas DC-6
Greece,88,9,79,0,INB,Trans World Airlines Flight 841 (1974),Boeing 707-331B
Greece,50,4,46,0,COM,Olympic Airways Flight 830,NAMC YS-11A-500
Greece,63,5,58,0,COM,Elleniki Polemikí Aeroporía (748),Lockheed C-130H Hercules
Greece,70,8,62,0,COM,Aerosvit Flight 241,Yakovlev Yak-42
Greece,121,6,115,0,COM,Helios Airways Flight 522,Boeing 737-31S
Guadeloupe,63,11,52,0,COM,Air France Flight 212 (F-BLCJ),Boeing 707-328C
Guatemala,93,6,87,0,COM,Aerovias Guatemala Caravelle (HC-BAE),Sud Aviation SE-210 Caravelle III
GulfofGuineaoffCôted'Ivoire,169,10,159,0,COM,Kenya Airways Flight 431,Airbus A310-304
Honduras,131,4,127,0,COM,Tan-Sahsa Flight 414,Boeing 727-224
